_id,image,name,brand,category,size,protein_per_serving,rating,price,discount,Flavor,Image_URL
6805efb612d569ea3cf5c18e,/public/assets/images/wh3.png,Solgar Biotin (30 Capsules),Nature Made,Collagen,100g,5g,4.7,25.99,40%,,
6805efb612d569ea3cf5c18f,/public/assets/images/wh1.png,Vital Proteins Multivitamin (100g),New Chapter,Iron,90 Capsules,0g,4.5,25.99,25%,,
6805efb612d569ea3cf5c190,/public/assets/images/wh3.png,Nature Made Biotin (500mg),Vital Proteins,Collagen,500mg,5g,4.7,19.99,15%,,
6805efb612d569ea3cf5c191,/public/assets/images/wh2.png,Garden of Life Vitamin D (90 Capsules),New Chapter,Vitamin D,500mg,0g,4.2,15.99,20%,,
6805efb612d569ea3cf5c192,/public/assets/images/wh1.png,New Chapter Multivitamin (90 Capsules),Garden of Life,Collagen,250g,5g,4.2,25.99,20%,,
6805efb612d569ea3cf5c193,/public/assets/images/wh2.png,Vital Proteins Vitamin D (30 Capsules),Garden of Life,Collagen,500mg,5g,4.5,25.99,30%,,
6805efb612d569ea3cf5c194,/public/assets/images/wh3.png,Vital Proteins Multivitamin (250g),Nature Made,Collagen,100g,5g,4,12.99,25%,,
6805efb612d569ea3cf5c195,/public/assets/images/wh2.png,New Chapter Folic Acid (100g),Vital Proteins,Collagen,100g,5g,4.9,12.99,40%,,
6805efb612d569ea3cf5c196,/public/assets/images/wh3.png,New Chapter Vitamin D (100g),Vital Proteins,Calcium,250g,0g,4.5,34.99,30%,,
6805efb612d569ea3cf5c197,/public/assets/images/wh3.png,New Chapter Magnesium (500mg),Nature Made,Biotin,250g,0g,4.9,12.99,15%,,
6805efb612d569ea3cf5c198,/public/assets/images/wh3.png,Vital Proteins Multivitamin (60 Capsules),Solgar,Iron,60 Capsules,0g,4.2,15.99,15%,,
6805efb612d569ea3cf5c199,/public/assets/images/wh3.png,New Chapter Collagen (500mg),Vital Proteins,Calcium,250g,0g,4.2,12.99,20%,,
6805efb612d569ea3cf5c19a,/public/assets/images/wh2.png,New Chapter Multivitamin (250g),Solgar,Iron,100g,0g,4.2,25.99,20%,,
6805efb612d569ea3cf5c19b,/public/assets/images/wh3.png,Vital Proteins Biotin (500mg),Garden of Life,Magnesium,100g,0g,4.2,29.99,15%,,
6805efb612d569ea3cf5c19c,/public/assets/images/wh1.png,New Chapter Collagen (30 Capsules),Garden of Life,Collagen,30 Capsules,5g,4.5,25.99,30%,,
6805efb612d569ea3cf5c19d,/public/assets/images/wh2.png,Vital Proteins Collagen (500mg),Garden of Life,Magnesium,500mg,0g,4.9,19.99,30%,,
6805efb612d569ea3cf5c19e,/public/assets/images/wh1.png,Garden of Life Folic Acid (30 Capsules),Vital Proteins,Iron,250g,0g,4.7,29.99,20%,,
6805efb612d569ea3cf5c19f,/public/assets/images/wh3.png,Vital Proteins Collagen (100g),New Chapter,Calcium,500mg,0g,4.7,19.99,20%,,
6805efb612d569ea3cf5c1a0,/public/assets/images/wh3.png,Garden of Life Vitamin D (100g),Garden of Life,Folic Acid,90 Capsules,0g,4,15.99,15%,,
6805efb612d569ea3cf5c1a1,/public/assets/images/wh3.png,New Chapter Folic Acid (500mg),Solgar,Multivitamin,250g,5g,4,12.99,30%,,
6805efb612d569ea3cf5c1a2,/public/assets/images/wh2.png,Vital Proteins Biotin (250g),Garden of Life,Multivitamin,30 Capsules,5g,4.7,19.99,25%,,
6805efb612d569ea3cf5c1a3,/public/assets/images/wh1.png,Garden of Life Multivitamin (60 Capsules),Solgar,Multivitamin,30 Capsules,5g,4.9,15.99,30%,,
6805efb612d569ea3cf5c1a4,/public/assets/images/wh3.png,Solgar Multivitamin (30 Capsules),Nature Made,Calcium,60 Capsules,0g,4.2,12.99,40%,,
6805efb612d569ea3cf5c1a5,/public/assets/images/wh1.png,New Chapter Multivitamin (500mg),Vital Proteins,Multivitamin,250g,5g,4.9,29.99,40%,,
6805efb612d569ea3cf5c1a6,/public/assets/images/wh2.png,Vital Proteins Vitamin D (250g),Nature Made,Biotin,100g,0g,4.7,29.99,40%,,
6805efb612d569ea3cf5c1a7,/public/assets/images/wh1.png,Solgar Calcium (30 Capsules),Solgar,Folic Acid,60 Capsules,0g,4.2,15.99,20%,,
6805efb612d569ea3cf5c1a8,/public/assets/images/wh2.png,New Chapter Iron (60 Capsules),New Chapter,Calcium,60 Capsules,0g,4.5,15.99,40%,,
